Reel No,Paper Type,Size,BF,GSM,Opening Weight,Rate,01-IN,01-OUT,02-IN,02-OUT,03-IN,03-OUT,04-IN,04-OUT,05-IN,05-OUT,06-IN,06-OUT,07-IN,07-OUT,08-IN,08-OUT,09-IN,09-OUT
142,SK,21,18,120,231,31.5,,,,,,,,,,,,,,,,,,
74,SK,22,18,120,120,31.5,,,,,,,,,,,,,,,,,,
73,SK,22,18,120,134,31.5,,,,,,,,,,,,,,,,,,
137,SK,23.5,18,120,215,30,,,,,,,,,,,,,,,,,,
32614,SK,26.5,18,120,19,31.67,,,,,,,,,,,,,,,,,,
72655,SK,26.5,18,120,296,32.25,,,,,,,,,,184,,,,,,,,
72658,SK,28.5,18,120,420,32.25,,,,,,,,,,,,,,,,,,
72660,SK,28.5,18,120,518,32.25,,,,,,,,,,,,,,,,,,
72617,SK,29,18,120,174,31.61,,,,,,,,174,,,,,,,,,,
72618,SK,29,18,120,389,31.61,,,,,,,,,,,,,,,,,,
72615,SK,29,18,120,407,31.61,,,,,,,,,,,,,,,,,,
72614,SK,29,18,120,414,31.61,,,,,,,,,,,,,,,,,,
72662,SK,29,18,120,477,32.25,,,,,,,,477,,,,,,,,,,
72664,SK,29,18,120,512,32.25,,,,,,,,228,,,,,,,,178,,
32625,SK,30,18,120,95,31.67,,,,,,,,,,,,,,,,,,
72671,SK,30,18,120,325,32.25,,,,,,145,,180,,,,,,,,,,
72670,SK,30,18,120,520,32.25,,,,,,185,,335,,,,,,,,,,
22682,SK,31,18,120,83,31.5,,,,,,,,,,,,,,,,,,
72674,SK,31,18,120,105,32.25,,,,,,,,105,,,,,,,,,,
32628,SK,31,18,120,106,31.67,,,,,,,,,,,,,,,,,,
72677,SK,31,18,120,450,32.25,,,,,,,,,,,,,,158,,,,
72678,SK,31,18,120,509,32.25,,,,,,,,,,,,,,,,,,
72676,SK,31,18,120,552,32.25,,,,,,,,,,,,,,,,,,
72679,SK,31,18,120,554,32.25,,,,,,,,,,,,,,,,,,
72675,SK,31,18,120,557,32.25,,,,,,,,,,,,,,,,,,
32630,SK,32,18,120,46,31.67,,,,,,,,,,,,,,,,,,
32632,SK,32,18,120,120,31.67,,,,,,,,120,,,,,,,,,,
62615,SK,32,16,100,470,30.22,,,,,,,,,,,,,,,,,,
62616,SK,32,16,100,488,30.22,,,,,,,,,,,,,,,,,,
32631,SK,32,18,120,508,31.67,,,,,,,,,,,,,,,,,,
7268,SK,32.5,18,100,186,32.87,,,,,,186,,,,,,,,,,,,
52667,SK,32.5,16,100,194,30.17,,,,,,76,,118,,,,,,,,,,
52666,SK,32.5,16,100,288,30.17,,,,,,,,,,,,,,,,,,
72700,SK,32.5,16,100,483,33.7,,,,,,,,,,,,,,,,,,
72702,SK,32.5,16,100,484,33.7,,,,,,,,84,,163,,87,,,,,,
72701,SK,32.5,16,100,493,33.7,,,,,,,,,,,,,,,,,,
72681,SK,34,18,120,125,32.25,,,,,,,,,,,,,,,,,,
72682,SK,34,18,120,425,32.25,,,,,,,,,,,,,,126,,154,,
72631,SK,34,18,120,486,31.61,,,,,,,,,,150,,,,,,,,
72629,SK,34,18,120,515,31.61,,,,,,,,,,,,,,,,,,
72704,SK,34,16,100,522,33.7,,,,,,,,,,,,,,,,,,
42635,SK,34,16,100,552,33.45,,,,,,,,,,552,,,,,,,,
72680,SK,34,18,120,581,32.25,,,,,,,,,,,,,,,,,,
52652,SK,36,18,120,60,31.49,,,,,,,,,,,,,,,,,,
72634,SK,36,18,120,94,31.61,,94,,,,,,,,,,,,,,,,
72632,SK,36,18,120,435,31.61,,45,,,,129,,261,,,,,,,,,,
72707,SK,36,16,100,541,33.7,,,,,,,,,,,,,,,,,,
72709,SK,36,16,100,543,33.7,,,,,,,,,,,,,,,,,,
72708,SK,36,16,100,548,33.7,,,,,,,,151,,187,,,,,,,,
42623,SK,36,18,120,560,33.2,,,,,,,,,,,,,,,,,,
72706,SK,36,16,100,564,33.7,,,,,,,,,,,,,,,,,,
72705,SK,36,16,100,575,33.7,,,,,,,,,,,,,,,,,,
62636,SK,36,18,120,576,30.47,,,,,,,,,,,,,,,,,,
72685,SK,36,18,120,605,32.25,,,,,,,,,,,,,,,,,,
72686,SK,36,18,120,631,32.25,,,,,,,,31,,207,,,,,,,,
126029,SK,37,16,100,85,30,,,,,,,,,,,,,,,,,,
32678,SK,37,16,100,422,31,,,,,,,,,,,,,,,,,,
32652,SK,37,16,100,449,31,,,,,,,,,,,,,,,,,,
32651,SK,37,16,100,461,31,,,,,,,,,,,,,,,,,,
5269,SK,37,16,100,578,31.17,,,,,,,,,,,,,,,,,,
5268,SK,37,16,100,590,31.17,,,,,,,,,,,,,,,,,,
52610,SK,37,16,100,594,31.17,,,,,,,,,,,,,,,,,,
5267,SK,37,16,100,609,31.17,,,,,,,,,,,,,,,,,,
52656,SK,37.5,18,120,570,31.49,,,,,,,,,,,,,,,,,,
52655,SK,37.5,18,120,639,31.49,,,,,,,,,,,,,,,,,,
326113,SK,39,16,100,78,31.5,,,,,,,,,,,,,,,,,,
42652,SK,39,18,140,120,33.45,,,,,,,,,,,,,,,,,,
72710,SK,39,16,100,324,33.7,,324,,,,,,,,,,,,,,,,
52611,SK,39,16,100,455,31.17,,,,,,,,,,,,155,,,,,,
72711,SK,39,16,100,591,33.7,,303,,,,,,,,,,173,,,,,,
72688,SK,41,18,120,440,32.25,,,,,,92,,,,,,348,,,,,,
72713,SK,41,16,100,629,33.7,,,,,,,,,,,,,,,,,,
72712,SK,41,16,100,635,33.7,,,,,,,,,,,,,,,,,,
72636,SK,41,18,120,658,31.61,,,,,,,,,,,,453,,,,,,
72690,SK,42.5,18,120,170,32.25,,90,,,,,,,,,,,,80,,,,
72714,SK,42.5,16,100,277,33.7,,,,,,,,,,,,,,277,,,,
326117,SK,42.5,16,100,533,31.5,,,,,,,,,,,,,,,,,,
72689,SK,42.5,18,120,619,32.25,,,,,,306,,,,,,,,,,,,
3269,SK,42.5,16,100,644,31.67,,,,,,,,,,,,,,,,,,
72715,SK,42.5,16,100,666,33.7,,,,,,,,,,,,,,,,,,
52698,SK,42.5,18,120,671,30.42,,,,,,,,,,,,,,671,,,,
62642,SK,42.5,18,120,698,30.47,,,,,,233,,,,,,,,400,,,,
526105,SK,44,22,180,350,32.1,,,,,,,,,,,,,,,,,,
526100,SK,44,22,180,637,32.1,,,,,,,,,,,,,,,,,,
526102,SK,44,22,180,652,32.1,,,,,,,,,,,,,,,,,,
526103,SK,44,22,180,655,32.1,,,,,,,,,,,,,,,,,,
42642,SK,45.5,16,100,50,33.45,,,,,,,,,,,,,,,,,,
52617,SK,45.5,16,100,132,31.17,,,,,,,,,,,,,,,,,,
32637,SK,45.5,16,120,136,31,,,,,,,,,,,,,,,,,,
72717,SK,45.5,16,100,685,33.7,,,,,,,,,,685,,,,,,,,
72716,SK,45.5,16,100,690,33.7,,,,585,,,,,,105,,,,,,,,
72691,SK,45.5,18,120,695,32.25,,,,,,,,,,,,695,,,,,,
72693,SK,45.5,18,120,786,32.25,,,,,,,,,,,,141,,,,,,
32658,SK,48,16,100,70,31,,,,,,,,,,,,,,,,,,
42629,SK,48,18,120,150,33.2,,,,,,,,,,,,,,,,,,
52621,SK,48,16,100,254,31.17,,,,,,,,,,,,,,,,,,
72718,SK,48,16,100,315,33.7,,,,315,,,,,,,,,,,,,,
62622,SK,48,16,100,552,30.22,,,,,,47,,,,,,,,,,,,
62621,SK,48,16,100,730,30.22,,,,,,,,,,,,,,,,,,
72719,SK,48,16,100,788,33.7,,,,,,,,,,,,788,,,,,,
72695,SK,50,18,120,55,32.25,,,,,,,,,,,,55,,,,,,
42646,SK,50,16,100,81,33.45,,,,,,,,,,,,,,,,,,
726101,SK,50,16,100,550,35,,,,,,,,,,550,,,,,,,,
72722,SK,50,16,100,790,33.7,,,,,,,,,,790,,,,,,,,
22620,SK,54,18,120,62,30.5,,,,,,,,,,,,,,,,,,
52626,SK,54,16,100,79,31.17,,,,,,,,,,,,,,,,,,
52625,SK,54,16,100,525,31.17,,,,,,,,,,,,,,,,,,
72643,SK,55,18,120,640,31.61,,,,,,,,,,,,,,,,,,
72644,SK,55,18,120,736,31.61,,,,,,,,,,,,,,,,,,
1225008,SK,56,16,100,86,29.5,,,,,,,,,,,,,,,,,,
8261,SK,30,18,120,,35.25,,,,,406,,,221,,,,,,,,185,,
8262,SK,30,18,120,,35.25,,,,,393,,,393,,,,,,,,,,
8263,SK,50,16,100,,35.75,,,,,,,,,,,709,,,,,,,
8264,SK,50,16,100,,35.75,,,,,,,,,,,707,,,,,,,
82623,SK,30,18,120,,35.25,,,,,,,,,,,,,425,,,53,,
82624,SK,30,18,120,,35.25,,,,,,,,,,,,,407,91,,316,,
8267,SK,27,16,100,,35.75,,,,,,,,,,,,,378,,,223,,
8268,SK,27,18,120,,35.25,,,,,,,,,,,,,405,,,275,,
8269,SK,30,18,120,,35.25,,,,,,,,,,,,,415,415,,,,
8270,SK,27,18,120,,35.25,,,,,,,,,,,,,,,414,,,
226507,VK,22,22,180,195,34.5,,,,,,,,,,,,,,,,,,
226506,VK,22,22,180,337,34.5,,,,,,,,,,,,,,,,,,
145,VK,22,22,220,99,38,,,,,,,,,,,,,,,,,,
226513,VK,24,22,180,382,34.5,,,,,,,,,,232,,,,,,,,
226512,VK,24,22,180,363,34.5,,,,,,,,,,,,,,,,,,
226510,VK,24,22,180,348,34.5,,,,,,,,,,,,,,,,,,
226511,VK,24,22,180,344,34.5,,,,,,,,,,,,,,,,,,
126638,VK,25.5,22,180,245,33.5,,,,,,,,,,,,,,,,,,
426594,VK,26,18,140,226,34.2,,,,,,,,,,162,,,,,,,,
426595,VK,26,18,140,413,34.2,,,,,,,,,,,,,,,,,,
426596,VK,26,18,140,394,34.2,,,,,,,,,,,,,,,,,,
426597,VK,26,18,140,420,34.2,,,,,,,,,,,,,,,,,,
326801,VK,26.5,25,140,90,38.25,,,,,,,,,,,,,,,,,,
326512,VK,27.5,22,180,390,34.25,,,,,,,,,,,,,,,,,,
626582,VK,27.5,22,180,400,32.55,,195,,,,,,,,,,,,,,175,,
526501,VK,28,28,220,444,41.84,,,,,,,,,,,,,,,,,,
526502,VK,28,28,220,434,41.84,,,,,,,,,,,,,,,,,,
526503,VK,28,28,220,435,41.84,,,,,,,,,,,,,,,,,,
526505,VK,28,28,220,439,41.84,,,,,,,,,,,,,,,,,,
526506,VK,28,28,220,415,41.84,,,,,,,,,,,,,,,,,,
526507,VK,28,28,220,437,41.84,,,,,,,,,,,,,,,,,,
526509,VK,28,28,220,473,41.84,,,,,,,,,,,,,,,,,,
726533,VK,28,28,220,395,43.1,,,,,,,,,,,,,,,,,,
726534,VK,28,28,220,415,43.1,,,,,,,,,,,,,,,,,,
726535,VK,28,28,220,442,43.1,,,,,,,,,,,,,,,,,,
726537,VK,28,28,220,441,43.1,,,,,,,,,,,,,,,,224,,
726538,VK,28,28,220,423,43.1,,,,,,,,,,,,,,,,,,
726539,VK,28,28,220,431,43.1,,,,,,,,,,,,,,,,,,
626587,VK,28.5,22,180,200,32.55,,,,,,,,,,,,,,,,,,
126655,VK,30,22,180,107,33.5,,,,,,,,,,,,,,,,,,
326538,VK,30,22,220,51,34.25,,,,,,,,,,51,,,,,,,,
326578,VK,30,25,200,66,37.7,,,,,,,,,,66,,,,,,,,
326633,VK,30,22,220,89,35.65,,,,,,,,,,,,,,,,,,
626627,VK,30,18,140,70,31.55,,,,,,,,,,,,,,,,,,
626621,VK,32,18,140,412,31.55,,,,,,,,172,,,,84,,,,122,,
226556,VK,32.5,28,220,510,40.5,,,,,,,,,,,,,,510,,,,
226621,VK,32.5,25,230,504,35,,,,,,312,,24,,,,,,,,,,
226622,VK,32.5,25,230,70,35,,,,,,,,,,,,,,,,,,
526527,VK,32.5,28,220,528,41.84,,,,,,,,,,,,,,,,528,,
526528,VK,32.5,28,220,528,41.84,,,,,,,,,,,,,,,,180,,
526529,VK,32.5,28,220,512,41.84,,,,,,,,,,,,,,512,,,,
526530,VK,32.5,28,220,527,41.84,,,,,,,,,,527,,,,,,,,
526531,VK,32.5,28,220,512,41.84,,,,,,,,,,,,,,512,,,,
526532,VK,32.5,28,220,521,41.84,,,,,,,,,,434,,87,,,,,,
226684,VK,34,22,180,102,34.25,,,,,,,,,,,,,,,,,,
526536,VK,34,28,220,420,41.84,,,,,,,,,,,,,,,,,,
526537,VK,34,28,220,540,41.84,,,,,,,,,,,,,,,,,,
526539,VK,34,28,220,522,41.84,,,,,,,,,,,,,,,,,,
626640,VK,34,22,180,52,33.55,,,,,,,,,,,,,,,,,,
726550,VK,34,28,220,526,43.1,,,,,,,,,,,,,,206,,220,,
726553,VK,34,28,220,300,43.1,,,,,,,,,,300,,,,,,,,
726554,VK,34,28,220,481,43.1,,,,,,,,,,,,,,,,,,
326596,VK,36,25,230,624,37.7,,,,,,,,,,,,,,,,,,
326597,VK,36,25,230,609,37.7,,,,,,,,,,,,,,,,,,
326600,VK,36,25,230,560,37.7,,,,,,,,,,,,,,,,560,,
326601,VK,36,25,230,563,37.7,,,,,,,,,,,,,,,,311,,
326605,VK,36,25,230,554,37.7,,232,,,,167,,155,,,,,,,,,,
626622,VK,36,18,140,298,31.55,,143,,,,15,,,,,,,,,,,,
626624,VK,36,18,140,540,31.55,,,,,,,,370,,,,,,,,113,,
626636,VK,36,22,180,556,33.55,,,,,,,,,,,,326,,,,230,,
626637,VK,36,22,180,485,33.55,,,,,,417,,,,,,68,,,,,,
726557,VK,36,28,220,95,43.1,,,,,,,,,,,,,,,,,,
426584,VK,37,18,140,611,34.2,,,,,,,,,,,,,,,,,,
426586,VK,37,18,140,75,34.2,,,,,,,,,,,,,,,,,,
526589,VK,37,18,140,522,31.75,,,,,,,,,,,,,,,,,,
526590,VK,37,18,140,295,31.75,,,,,,,,,,,,,,,,,,
526591,VK,37,18,140,508,31.75,,,,,,,,,,,,,,,,,,
526639,VK,37,22,220,208,33,,,,,,,,,,,,,,,,,,
526612,VK,37.5,22,180,566,33.5,,,,,,,,,,,,,,,,,,
526613,VK,37.5,22,180,566,33.5,,,,,,,,,,,,,,,,,,
526577,VK,39,18,140,470,31.75,,,,,,,,,,,,,,,,,,
526578,VK,39,18,140,540,31.75,,,,,,,,,,,,,,,,,,
526606,VK,39,22,180,385,33.5,,,,,,,,,,,,,,171,,,,
526607,VK,39,22,180,596,33.5,,,,,,,,,,,,,,,,,,
526608,VK,39,22,180,260,33.5,,,,,,,,,,,,,,,,,,
526642,VK,39,22,220,591,33,,591,,,,,,,,,,,,,,,,
526643,VK,39,22,220,608,33,,554,,,,,,,,,,,,,,,,
626563,VK,41,28,220,628,40.33,,,,,,,,,,,,628,,,,,,
626564,VK,41,28,220,490,40.33,,,,,,,,,,,,490,,,,,,
626615,VK,41,18,140,365,31.55,,,,,,185,,,,,,,,,,,,
726558,VK,41,28,220,630,43.1,,,,,,,,,,,,,,,,,,
726559,VK,41,28,220,602,43.1,,,,,,,,,,,,402,,,,,,
626631,VK,42.5,22,180,370,33.55,,,,,,230,,108,,,,,,,,,,
626632,VK,42.5,22,180,552,33.55,,,,,,,,,,,,,,527,,,,
226640,VK,45,25,230,687,35,,,,,,,,,,,,,,,,,,
326609,VK,45,25,230,752,37.7,,,,,,,,,,,,,,,,,,
326784,VK,45,25,230,713,39.9,,,,,,,,,,,,,,,,,,
326785,VK,45,25,230,760,39.9,,,,,,,,,,,,,,,,,,
326787,VK,45,25,230,781,39.9,,,,,,,,,,,,,,,,,,
326788,VK,45,25,230,723,39.9,,,,,,,,,,,,,,,,,,
326789,VK,45,25,230,724,39.9,,,,,,,,,,,,,,,,,,
426577,VK,45,25,230,131,39.82,,,,,,,,,,,,,,,,,,
426637,VK,45,22,180,59,35,,,,,,,,,,,,,,,,,,
626565,VK,45,28,220,636,40.33,,,,,,,,,,,,,,,,,,
626606,VK,45,22,180,210,32.55,,,,,,,,,,,,,,,,,,
726560,VK,45,28,220,638,43.1,,,,,,,,,,,,328,,,,,,310
726561,VK,45,28,220,672,43.1,,,,,,,,,,,,,,,,,,559
726562,VK,45,28,220,647,43.1,,,,,,,,,,,,647,,,,,,
1225538,VK,45.5,22,220,713,32.25,,,,,,,,,,713,,,,,,,,
626531,VK,45.5,25,220,657,33.31,,,,,,,,,,157,,,,,,,,
626533,VK,45.5,25,220,534,33.31,,,,,,,,,,534,,,,,,,,
726526,VK,45.5,22,220,57,34.95,,,,,,,,,,,,,,,,,,
326554,VK,47,22,220,76,34.25,,,,,,,,,,,,,,,,,,
326792,VK,48,25,230,403,39.9,,,,,,,,,,,,,,,,,,
626568,VK,48,28,220,751,40.33,,,,,,,,,,,,,,,,,,
626569,VK,48,28,220,772,40.33,,,,,,,,,,,,,,,,,,
626607,VK,48,22,180,729,32.55,,,,,,,,,,,,,,,,,,
226650,VK,50,22,180,210,34.25,,,,,,,,,,,,85,,,,,,
326575,VK,50,22,220,231,35.7,,,,,,,,,,,,,,,,,,
626544,VK,50,25,230,50,33.31,,,,,,,,,,,,,,,,,,
626629,VK,50,22,180,35,33.55,,,,,,,,,,,,,,,,,,
726530,VK,50,22,220,682,34.95,,,,,,,,,,682,,,,,,,,
726532,VK,50,22,220,838,34.95,,,,,,,,,,618,,,,,,,,
726563,VK,50,28,220,180,43.1,,,,,,,,,,180,,,,,,,,
726564,VK,50,28,220,725,43.1,,,,,,,,,,,,559,,,,,,
726565,VK,50,28,220,773,43.1,,,,,,,,,,773,,,,,,,,
726583,VK,31,22,220,211,35.85,,,,,,,,,,,,,,,,,,
726589,VK,34,22,220,437,35.85,,229,,,,,,,,208,,,,,,,,
726590,VK,34,22,220,474,35.85,,,,,,,,,,,,,,402,,,,
726591,VK,34,22,220,307,35.85,,,,,,,,,,,,,,,,,,
726596,VK,39,22,220,597,35.85,,417,,,,,,,,,,,,,,,,
726599,VK,41,22,220,632,35.85,,,,,,,,,,,,,,,,,,
726600,VK,41,22,220,625,35.85,,,,,,,,,,,,,,,,,,
726601,VK,41,22,220,635,35.85,,195,,,,,,,,,,440,,,,,,
726605,VK,45.5,22,220,631,35.85,,175,,,,,,,,,,348,,,,,,
726607,VK,45.5,22,220,638,35.85,,638,,,,,,,,,,,,,,,,
726608,VK,45.5,22,220,706,35.85,,706,,,,,,,,,,,,,,,,
726609,VK,50,22,220,786,35.85,,,,,,,,,,786,,,,,,,,
726613,VK,25.5,22,180,348,35.85,,,,,,,,,,,,,,,,,,
726614,VK,25.5,22,180,95,35.85,,,,,,,,,,,,,,,,,,
726631,VK,30,22,180,88,35.85,,,,,,,,,,,,,,,,,,88
726635,VK,32.5,22,180,114,35.85,,,,,,114,,,,,,,,,,,,
726636,VK,32.5,22,180,491,35.85,,,,,,,,275,,,,116,,,,,,
726641,VK,36,22,180,507,35.85,,,,,,212,,235,,,,60,,,,,,
726642,VK,36,22,180,258,35.85,,163,,,,65,,,,,,,,,,30,,
726644,VK,36,22,180,33,35.85,,,,,,,,,,,,,,,,33,,
726645,VK,42.5,22,180,616,35.85,,,,,,,,,,,,,,616,,,,
726648,VK,45,22,180,704,35.85,,,,,,,,,,,,,,,,,,
726649,VK,45,22,180,675,35.85,,,,,,,,,,,,,,,,,,
726650,VK,45,22,180,260,35.85,,,,,,,,,,,,,,,,260,,
726651,VK,48,22,180,711,35.85,,525,,,,148,,,,,,,,,,,,
726652,VK,48,22,180,308,35.85,,240,,,,,,,,,,,,,,,,
726654,VK,50,22,180,707,35.85,,,,,,,,,,,,,,,,,,
726701,VK,28,18,140,196,35.25,,,,,,,,,,,,,,,,,,
726704,VK,30,18,180,148,35.25,,,,,,148,,,,,,,,,,,,
826501,VK,30,18,140,,35.75,,,,,416,,,368,,,,,,,,,,
826502,VK,30,18,140,,35.75,,,,,416,,,36,,380,,,,,,,,
826503,VK,30,22,220,,37.75,,,,,446,,,446,,,,,,,,,,
826504,VK,30,22,220,,37.75,,,,,432,302,,130,,,,,,,,,,
826505,VK,30,22,220,,37.75,,,,,477,,,477,,,,,,,,,,
826506,VK,32,22,180,,37.75,,,,,492,492,,,,,,,,,,,,
826507,VK,32,22,220,,37.75,,,,,,,,,500,500,,,,,,,,
826508,VK,33,22,220,,37.75,,,,,,,,,521,,,,,,,,,
826509,VK,34,22,220,,37.75,,,,,,,,,567,567,,,,,,,,
826510,VK,50,18,140,,35.75,,,,,,,,,,,770,770,,,,,,
826511,VK,30,18,180,,35.75,,,,,,,,,,,,,368,248,,120,,
826512,VK,30,18,180,,35.75,,,,,,,,,,,,,521,,,481,,
826512,VK,32,18,140,,35.25,,,,,,,,,,,,,,,458,,,
